[debug] elbow QVEL: -1365.5560757864084, Shoulder QVEL: 700.6090085350096
[debug] elbow QVEL: -1372.7263834643131, Shoulder QVEL: 701.4528643982628
[debug] elbow QVEL: -1381.9288883409833, Shoulder QVEL: 704.8118508196352
[debug] elbow QVEL: -1390.2713464108572, Shoulder QVEL: 712.0691367762803
[debug] elbow QVEL: -1394.1242659313943, Shoulder QVEL: 712.1203352921051
[debug] elbow QVEL: -1401.811900220604, Shoulder QVEL: 713.3873560595715
[debug] elbow QVEL: -1411.3273716304554, Shoulder QVEL: 717.5981686820774
[debug] elbow QVEL: -1417.7905195615583, Shoulder QVEL: 726.1142339204075
[debug] elbow QVEL: -1420.070973368546, Shoulder QVEL: 726.0201716689551
[debug] elbow QVEL: -1426.976928580804, Shoulder QVEL: 726.7493524512953
[debug] elbow QVEL: -1436.4821723147077, Shoulder QVEL: 730.029036061105
[debug] elbow QVEL: -1456.7712936438847, Shoulder QVEL: 742.0176706411737
[debug] elbow QVEL: -1476.8597178343232, Shoulder QVEL: 753.6698803558527
[debug] elbow QVEL: -1487.8405086392177, Shoulder QVEL: 760.2243363806086
[debug] elbow QVEL: -1503.3577845902155, Shoulder QVEL: 772.831683276868
[debug] elbow QVEL: -1513.1970737906386, Shoulder QVEL: 774.4988864703438
[debug] elbow QVEL: -1524.8976964211595, Shoulder QVEL: 780.2647325696493
[debug] elbow QVEL: -1531.5681520607716, Shoulder QVEL: 792.0864593827594
[debug] elbow QVEL: -1534.0866134019373, Shoulder QVEL: 791.8895768554116
[debug] elbow QVEL: -1542.7591280564266, Shoulder QVEL: 792.5178869472762
[debug] elbow QVEL: -1554.71450734797, Shoulder QVEL: 796.4026615681995
[debug] elbow QVEL: -1568.0272690750485, Shoulder QVEL: 806.0206569024414
[debug] elbow QVEL: -1575.8356956308703, Shoulder QVEL: 806.5159827757636
[debug] elbow QVEL: -1587.6285844022725, Shoulder QVEL: 810.0661868468454
[debug] elbow QVEL: -1596.6181095906181, Shoulder QVEL: 819.1969441453429
[debug] elbow QVEL: -1600.6993623966675, Shoulder QVEL: 819.1773861313186
[debug] elbow QVEL: -1610.8440514764575, Shoulder QVEL: 820.799841299638
[debug] elbow QVEL: -1623.5949510356056, Shoulder QVEL: 827.0489778801394
[debug] elbow QVEL: -1632.7770129666876, Shoulder QVEL: 840.4707324401212
[debug] elbow QVEL: -1637.935266237974, Shoulder QVEL: 840.4322640595956
[debug] elbow QVEL: -1649.29788561357, Shoulder QVEL: 842.4134934525956
[debug] elbow QVEL: -1663.0002227512305, Shoulder QVEL: 849.7636090298664
[debug] elbow QVEL: -1681.5323679572825, Shoulder QVEL: 865.3502440461607
[debug] elbow QVEL: -1693.860725964087, Shoulder QVEL: 867.4289479253481
[debug] elbow QVEL: -1708.5905205661566, Shoulder QVEL: 875.4524155320296
[debug] elbow QVEL: -1720.6645589556847, Shoulder QVEL: 892.5148543947009
[debug] elbow QVEL: -1728.9177548039609, Shoulder QVEL: 892.5351772426196
[debug] elbow QVEL: -1743.4632749405116, Shoulder QVEL: 895.795109267966
[debug] elbow QVEL: -1769.6692943146288, Shoulder QVEL: 907.3290719208354
[debug] elbow QVEL: -1785.1281680361622, Shoulder QVEL: 912.7582724719556
[debug] elbow QVEL: -1810.272440460311, Shoulder QVEL: 927.7892861870573
[debug] elbow QVEL: -1825.9800724261734, Shoulder QVEL: 932.6424496682395
[debug] elbow QVEL: -1831.078946479249, Shoulder QVEL: 945.60329418213
[debug] elbow QVEL: -1830.5983957110282, Shoulder QVEL: 945.392053917926
[debug] elbow QVEL: -1841.3658022018524, Shoulder QVEL: 945.952120346084
[debug] elbow QVEL: -1858.2668083255505, Shoulder QVEL: 951.6015699227149
[debug] elbow QVEL: -1864.789336342523, Shoulder QVEL: 966.9039933078175
[debug] elbow QVEL: -1866.4662092406563, Shoulder QVEL: 966.6458565022176
[debug] elbow QVEL: -1879.59793694689, Shoulder QVEL: 967.6094446232331
[debug] elbow QVEL: -1898.0043487347195, Shoulder QVEL: 975.0497037695256
[debug] elbow QVEL: -1901.6227516934546, Shoulder QVEL: 993.5338927422549
[debug] elbow QVEL: -1900.3297684432398, Shoulder QVEL: 993.3666779814679
[debug] elbow QVEL: -1912.594888180281, Shoulder QVEL: 993.385962738872
[debug] elbow QVEL: -1932.1545121148586, Shoulder QVEL: 998.8616885500151
[debug] elbow QVEL: -1952.3773755254797, Shoulder QVEL: 1015.9589366552801
[debug] elbow QVEL: -1966.6171631719824, Shoulder QVEL: 1016.6255293522316
[debug] elbow QVEL: -1987.2614909962958, Shoulder QVEL: 1024.449344361951
[debug] elbow QVEL: -2015.244269597947, Shoulder QVEL: 1045.853949729245
[debug] elbow QVEL: -2034.9503675454512, Shoulder QVEL: 1049.4677856261303
[debug] elbow QVEL: -2055.7666399802965, Shoulder QVEL: 1064.7690797674247
[debug] elbow QVEL: -2070.41151199403, Shoulder QVEL: 1065.6699429762423
[debug] elbow QVEL: -2092.6163016752525, Shoulder QVEL: 1074.8083517752634
[debug] elbow QVEL: -2129.765097780605, Shoulder QVEL: 1100.9074941677743
[debug] elbow QVEL: -2153.981122554761, Shoulder QVEL: 1110.630270803945
[debug] elbow QVEL: -2196.7315358456135, Shoulder QVEL: 1139.7209171135048
[debug] elbow QVEL: -2247.5410015785587, Shoulder QVEL: 1157.815692872854
[debug] elbow QVEL: -2267.599984778945, Shoulder QVEL: 1179.397676132421
[debug] elbow QVEL: -2283.7557253353557, Shoulder QVEL: 1179.8790486132393
[debug] elbow QVEL: -2311.1942474450234, Shoulder QVEL: 1190.5450573628582
[debug] elbow QVEL: -2358.373027630459, Shoulder QVEL: 1224.2744443365914
[debug] elbow QVEL: -2369.7299315295536, Shoulder QVEL: 1237.7894157814167
[debug] elbow QVEL: -2376.1219166486435, Shoulder QVEL: 1237.3526207740551
[debug] elbow QVEL: -2403.284109858732, Shoulder QVEL: 1241.8817562415456
[debug] elbow QVEL: -2456.971926276378, Shoulder QVEL: 1268.2159983740771
[debug] elbow QVEL: -2515.3105480230593, Shoulder QVEL: 1290.6668924440316
[debug] elbow QVEL: -2567.9659889612135, Shoulder QVEL: 1317.1793403498184
[debug] elbow QVEL: -2627.250626017137, Shoulder QVEL: 1339.8259943591358
[debug] elbow QVEL: -2678.236687063772, Shoulder QVEL: 1368.3973031419835
[debug] elbow QVEL: -2713.246739261116, Shoulder QVEL: 1386.051622469321
[debug] elbow QVEL: -2768.087420210361, Shoulder QVEL: 1440.74630127504
[debug] elbow QVEL: -2813.9254443688383, Shoulder QVEL: 1459.700106333809
[debug] elbow QVEL: -2851.2815278880234, Shoulder QVEL: 1467.8637143721874
[debug] elbow QVEL: -2906.7355138748303, Shoulder QVEL: 1511.5975661291086
[debug] elbow QVEL: -2951.591591181634, Shoulder QVEL: 1526.904796652259
[debug] elbow QVEL: -2987.6161190025578, Shoulder QVEL: 1589.2732639546696
[debug] elbow QVEL: -3032.981524428845, Shoulder QVEL: 1592.6623916394826
[debug] elbow QVEL: -3064.7997444532684, Shoulder QVEL: 1638.007341126977
[debug] elbow QVEL: -3104.722053767251, Shoulder QVEL: 1637.700492274977
[debug] elbow QVEL: -3273.256687191762, Shoulder QVEL: 1705.8403852841336
[debug] elbow QVEL: -3327.4160890030034, Shoulder QVEL: 1763.6828613215591
[debug] elbow QVEL: -3387.052170234061, Shoulder QVEL: 1773.3931485341893
[debug] elbow QVEL: -3515.6418460610716, Shoulder QVEL: 1857.8194388355544
[debug] elbow QVEL: -3581.2400179687743, Shoulder QVEL: 1942.3038790174428
[debug] elbow QVEL: -3662.2618673019947, Shoulder QVEL: 1952.7033306085907
[debug] elbow QVEL: -3808.0238647536676, Shoulder QVEL: 2051.5606847599333
[debug] elbow QVEL: -3923.405826034359, Shoulder QVEL: 2122.8293847187047
[debug] elbow QVEL: -4080.2400798294293, Shoulder QVEL: 2155.682323964094
[debug] elbow QVEL: -4402.071792713791, Shoulder QVEL: 2312.3303490419726
[debug] elbow QVEL: -4665.374839308128, Shoulder QVEL: 2434.3192797426054
[debug] elbow QVEL: -4860.173206919816, Shoulder QVEL: 2547.6349962554314
[debug] elbow QVEL: -5106.497868238465, Shoulder QVEL: 2721.483640814798
[debug] elbow QVEL: -5393.6777302565515, Shoulder QVEL: 2951.6252835378314
[debug] elbow QVEL: -5841.188087283711, Shoulder QVEL: 3216.898152490985
[debug] elbow QVEL: -6189.536312010126, Shoulder QVEL: 3400.862239875686
[debug] elbow QVEL: -7269.607407293298, Shoulder QVEL: 3965.489389538044
[debug] elbow QVEL: 22022.929495631026, Shoulder QVEL: 85318.88617988217
[debug] elbow QVEL: -51069.45417977783, Shoulder QVEL: 62055.100004814274
[debug] elbow QVEL: -4627611.1796681555, Shoulder QVEL: 4098372.6210276596
[debug] elbow QVEL: 695.5835673332863, Shoulder QVEL: -1020.1702301774685
[debug] elbow QVEL: 674.9464843012277, Shoulder QVEL: -1044.812614877622
[debug] elbow QVEL: 652.8391620183011, Shoulder QVEL: -1066.6293565400028
[debug] elbow QVEL: 658.6949267949266, Shoulder QVEL: -1068.9892173990818
[debug] elbow QVEL: 696.6960602335428, Shoulder QVEL: -1047.881802257639
[debug] elbow QVEL: 741.5352343263552, Shoulder QVEL: -1023.3594741079373
[debug] elbow QVEL: 1015.7584060451549, Shoulder QVEL: -904.9574482669683
[debug] elbow QVEL: 1046.279336819136, Shoulder QVEL: -903.2474103074917
[debug] elbow QVEL: 1071.019527828886, Shoulder QVEL: -908.4501466369718
[debug] elbow QVEL: 1090.2457450483505, Shoulder QVEL: -920.6178137824293
[debug] elbow QVEL: 1104.2840098132995, Shoulder QVEL: -939.7270814148176
[debug] elbow QVEL: 1113.4488946728263, Shoulder QVEL: -965.6698267001608
[debug] elbow QVEL: 1117.9766956805572, Shoulder QVEL: -998.2728858271928
[debug] elbow QVEL: 1117.993719335801, Shoulder QVEL: -1037.2709384058119
[debug] elbow QVEL: 1113.5052132728058, Shoulder QVEL: -1082.2710713151637
[debug] elbow QVEL: 1104.392945969604, Shoulder QVEL: -1132.6250840133566
[debug] elbow QVEL: 1090.4300598528919, Shoulder QVEL: -1187.3870057278314
[debug] elbow QVEL: 1071.3143730127726, Shoulder QVEL: -1245.2342300368175
[debug] elbow QVEL: 1046.7211872059513, Shoulder QVEL: -1304.4082935636889
[debug] elbow QVEL: 1016.3897734303112, Shoulder QVEL: -1362.7435674810686
[debug] elbow QVEL: 980.2694016624706, Shoulder QVEL: -1417.8392918125526
[debug] elbow QVEL: 861.29501136556, Shoulder QVEL: -1509.4358724698304
[debug] elbow QVEL: 807.0114737067232, Shoulder QVEL: -1539.164991278005
[debug] elbow QVEL: 780.410023704789, Shoulder QVEL: -1553.6479643480204
[debug] elbow QVEL: 783.5121345253737, Shoulder QVEL: -1551.70945216431
[debug] elbow QVEL: 816.1363210160622, Shoulder QVEL: -1533.4303505804685
[debug] elbow QVEL: 875.6638378873307, Shoulder QVEL: -1500.3902911362595
[debug] elbow QVEL: 956.977764430708, Shoulder QVEL: -1455.7642509444254
[debug] elbow QVEL: 1052.313874033416, Shoulder QVEL: -1404.7107311299305
[debug] elbow QVEL: 1152.4153349358319, Shoulder QVEL: -1353.7152597850788
[debug] elbow QVEL: 1248.2642384081075, Shoulder QVEL: -1309.5618395935703
[debug] elbow QVEL: 1333.1043727364397, Shoulder QVEL: -1277.8160394485683
[debug] elbow QVEL: 1403.2435226394182, Shoulder QVEL: -1262.1132431421047
[debug] elbow QVEL: 1457.6401821971824, Shoulder QVEL: -1264.2714573558267
[debug] elbow QVEL: 1496.8655562091333, Shoulder QVEL: -1284.8606985887163
[debug] elbow QVEL: 1522.0836589564046, Shoulder QVEL: -1323.7804289520789
[debug] elbow QVEL: 1534.3682114873973, Shoulder QVEL: -1380.5380622506336
[debug] elbow QVEL: 1534.3302834011765, Shoulder QVEL: -1454.2472577100177
[debug] elbow QVEL: 1459.6762658509176, Shoulder QVEL: -1577.4878707179316
[debug] elbow QVEL: 1451.294466386248, Shoulder QVEL: -1581.9744073622621
[debug] elbow QVEL: 1499.556598155931, Shoulder QVEL: -1554.8424450505197
[debug] elbow QVEL: 1589.173284414129, Shoulder QVEL: -1507.017417429193
[debug] elbow QVEL: 1694.9653174954512, Shoulder QVEL: -1457.027391408055
[debug] elbow QVEL: 1794.3422801006877, Shoulder QVEL: -1422.457021222774
[debug] elbow QVEL: 1874.7291866416615, Shoulder QVEL: -1414.4542012889633
[debug] elbow QVEL: 1932.74213864485, Shoulder QVEL: -1437.8850875740818
[debug] elbow QVEL: 1969.6889750217415, Shoulder QVEL: -1494.1688048906103
[debug] elbow QVEL: 1987.89204334999, Shoulder QVEL: -1583.5166071610968
[debug] elbow QVEL: 1988.8827745107155, Shoulder QVEL: -1705.4665667694733
[debug] elbow QVEL: 1972.7692446217259, Shoulder QVEL: -1858.0064552523745
[debug] elbow QVEL: 1938.2070275580782, Shoulder QVEL: -2035.5590878037276
[debug] elbow QVEL: 1882.937302240494, Shoulder QVEL: -2226.6091563123305
[debug] elbow QVEL: 2039.516763507899, Shoulder QVEL: -2286.261735839186
[debug] elbow QVEL: 2297.210519342203, Shoulder QVEL: -2165.799356676039
[debug] elbow QVEL: 2506.587148997606, Shoulder QVEL: -2108.2188646549635
[debug] elbow QVEL: 2643.2564864745345, Shoulder QVEL: -2140.0352777967473
[debug] elbow QVEL: 2711.8163455027498, Shoulder QVEL: -2266.4032121579967
[debug] elbow QVEL: 2720.776928610343, Shoulder QVEL: -2484.536978077823
[debug] elbow QVEL: 2671.579746071094, Shoulder QVEL: -2783.4037378491644
[debug] elbow QVEL: 2557.4486682331694, Shoulder QVEL: -3131.619702080277
[debug] elbow QVEL: 2370.56914875205, Shoulder QVEL: -3466.3163255374466
[debug] elbow QVEL: 1803.8938129377257, Shoulder QVEL: -3885.334432834096
[debug] elbow QVEL: 1892.7679071438422, Shoulder QVEL: -3836.0577698594625
[debug] elbow QVEL: 2352.6271876644582, Shoulder QVEL: -3585.5259097842604
[debug] elbow QVEL: 2963.100025457704, Shoulder QVEL: -3278.7165781062236
[debug] elbow QVEL: 3445.144821212822, Shoulder QVEL: -3126.6474618713864
